Identifiant espace vert,Nom de l'espace vert,Typologie d'espace vert,Cat?gorie,Adresse - type voie,Adresse - Libell? voie,Code postal,Surface calcul?e,Superficie totale r?elle,Surface horticole,Pr?sence cloture,P?rim?tre,Nombre d'entit?s,Ouverture 24h_24h
11769,PROMENADE PC 12 - DAUMESNIL - SAHEL,Promenades ouvertes,Promenade,RUE DE,MONTEMPOIVRE,75012,11854,11800,,Oui,1219.107268,1,Non
11897,JARDINIERE VERTICALE DU MUR DU CIMETIERE DE BERCY,Murs v?g?talis?s,Murs vegetalises,RUE DE,CHARENTON,75012,11,,,Non,,0,
166,SQUARE EUGENE THOMAS,Promenades ouvertes,Square,RUE,DESCOS,75012,752,742,241,Oui,114.8633918,1,Oui
176,JARDIN DU PORT DE L'ARSENAL,Promenades ouvertes,Jardin,BOULEVARD DE LA,BASTILLE,75012,9029,10400,7446,Oui,1021.84408,1,Non
192,SQUARE DES COMBATTANTS D'INDOCHINE,Jardinets d?coratifs,Square,PLACE,EDOUARD RENARD,75012,1589,1814,1310,Non,196.8690646,1,
11314,CIMETIERE DE CHARENTON,Cimeti?res,Cimeti?re,AVENUE DE,GRAVELLE,75012,10876,10877,,Oui,427.4858369,1,Non
11324,SQUARE CARNOT,Promenades ouvertes,Square,ESPLANADE,SAINT-LOUIS,75012,10254,10256,,Oui,407.7942725,1,Non
11326,JARDIN INSOLITE,Promenades ouvertes,Jardin,CARREFOUR DE LA,PYRAMIDE,75012,664,664,,Oui,94.59451791,1,Non
10332,JARDINIERES DE LA PORTE DOREE,D?corations sur la voie publique,Jardiniere,PLACE,EDOUARD RENARD,75012,168,360,360,Non,137.846964,8,
10711,PLATE-BANDE DU SEPARATEUR DE L'AVENUE DAUSMESNIL,D?corations sur la voie publique,Plate-bande,AVENUE,DAUMESNIL,75012,107,105,105,Non,166.2060606,3,
11574,34-00,P?riph?rique,Talus,,,75012,2009,,,Non,259.8413126,1,
11924,JARDIN PARTAGE DU JARDIN DEBERGUE-RENDEZ-VOUS,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE DU,RENDEZ-VOUS,75012,307,220,220,Oui,,1,Non
195,JARDIN DEBERGUE-RENDEZ-VOUS,Promenades ouvertes,Jardin,RUE DU,RENDEZ-VOUS,75012,6242,6300,,Oui,544.9563784,1,Non
10338,JARDINIERE DU MUSEE DES ARTS AFRICAINS ET OCEANIENS,D?corations sur la voie publique,Jardiniere,AVENUE,ARMAND ROUSSEAU,75012,65,80,80,Non,48.63166156,1,
11347,JARDINIERE DE LA RUE LOUISE HERVIEU,D?corations sur la voie publique,Jardiniere,RUE,LOUISE HERVIEU,75012,76,77,77,Non,64.86828681,1,
11580,35-13,P?riph?rique,Talus,,,75012,1081,,,Non,359.5208574,1,
11770,PROMENADE PC 12 - SAHEL - VOUTE,Promenades ouvertes,Promenade,RUE DU,SAHEL,75012,9393,9500,,Oui,1375.573577,1,Non
11974,JARDINIERES DE L'AVENUE DE SAINT-MANDE,D?corations sur la voie publique,Jardiniere,AVENUE DE,SAINT-MANDE,75012,209,,,Non,,0,
233,SQUARE DE L'AVENUE CAFFIERI,Promenades ouvertes,Square,AVENUE,CAFFIERI,75013,792,713,646,Oui,212.3913434,1,Oui
10381,JARDINIERE ANGLE DES RUES DE LA GLACIERE - DE LA SANTE,D?corations sur la voie publique,Jardiniere,RUE DE LA,GLACIERE,75013,101,100,100,Non,58.20889723,1,
225,PARC DE CHOISY,Promenades ouvertes,Parc,RUE,GEORGE EASTMAN,75013,39812,42693,20597,Oui,974.5825274,1,Non
11221,JARDIN CHARLES TRENET,Promenades ouvertes,Jardin,RUE,BRILLAT-SAVARIN,75013,4801,5000,,Oui,325.3248968,1,Non
11240,JARDINIERES DU 66 RUE DE TOLBIAC (AERATION METEOR),D?corations sur la voie publique,Jardiniere,RUE DE,TOLBIAC,75013,32,31,31,Non,59.37492382,2,
10985,JARDINIERE DE LA RUE DE RICHEMONT,D?corations sur la voie publique,Jardiniere,RUE DE,RICHEMONT,75013,37,71,71,Non,33.51566929,1,
267,00-10,P?riph?rique,Talus,,,75013,1459,,,Non,172.6521798,1,
11720,JARDINIERE VERTICALE DU 22 BOULEVARD KELLERMANN,Murs v?g?talis?s,Murs vegetalises,BOULEVARD,KELLERMANN,75013,2,,,Non,17.39279784,8,
11266,JARDIN PARTAGE DU SQUARE PAUL NIZAN,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE DE L',INDUSTRIE,75013,125,97,97,Oui,75.82153542,1,Non
11303,JARDINIERES DE L'AVENUE CLAUDE REGAUD,D?corations sur la voie publique,Jardiniere,AVENUE,CLAUDE REGAUD,75013,1331,1200,1200,Non,237.9042033,13,
11352,JARDINET DE LA PLACED'ITALIE EST,Jardinets d?coratifs,Jardinet,PLACE D',ITALIE,75013,1109,1086,1086,Oui,186.7953757,1,Non
10350,DECORATION DE L'AVENUE DE LA PORTE D'ITALIE,D?corations sur la voie publique,Decoration,AVENUE DE LA,PORTE D'ITALIE,75013,127,100,100,Non,55.88055437,1,
228,PARC KELLERMANN,Promenades ouvertes,Parc,RUE DE LA,POTERNE DES PEUPLIERS,75013,52716,55580,30250,Oui,1721.095647,1,Non
222,SQUARE DE LA PLACE DE L'ABBE GEORGES HENOCQUE,Promenades ouvertes,Square,PLACE DE L',ABBE GEORGES HENOCQUE,75013,674,680,192,Oui,92.09390759,1,Non
10382,JARDINIERE DU BOULEVARD AUGUSTE BLANQUI,D?corations sur la voie publique,Jardiniere,BOULEVARD,AUGUSTE BLANQUI,75013,20,19,19,Non,19.34463593,1,
10398,JARDINIERE DE LA RUE WATTEAU,D?corations sur la voie publique,Jardiniere,RUE,WATTEAU,75013,198,200,200,Non,81.27427547,1,
10399,JARDINIERES DE LA PLACE ANDRE MASSON,D?corations sur la voie publique,Jardiniere,PLACE,ANDRE MASSON,75013,437,250,250,Non,200.5987881,5,
11762,JARDINIERE DE LA HALLE FREYSSINET,D?corations sur la voie publique,Jardiniere,RUE,ALPHONSE BOUDARD,75013,861,1100,,Non,152.6714335,1,
10135,JARDIN DES GRANDS MOULINS - ABBE PIERRE - JARDIN DE L'AVENUE DE FRANCE,Promenades ouvertes,Jardin,RUE,MARIE-ANDREE LAGROUA WEILL-HALLE,75013,2102,2150,,Oui,187.7841361,1,Oui
11154,JARDINIERE VERTICALE DU 44 RUE DU DESSOUS DES BERGES,Murs v?g?talis?s,Murs vegetalises,RUE DU,DESSOUS DES BERGES,75013,7,,,Non,23.19550528,1,
10383,JARDINIERE DE LA RUE DUMERIL,D?corations sur la voie publique,Jardiniere,RUE,DUMERIL,75013,4,50,50,Non,10.34756384,1,
10351,DECORATION DE LA PLACE DE RUNGIS,D?corations sur la voie publique,Decoration,PLACE DE,RUNGIS,75013,380,278,278,Non,79.71773211,1,
10937,JARDINIERES ANGLE DES RUES DE TOLBIAC - BAUDRICOURT,D?corations sur la voie publique,Jardiniere,RUE,BAUDRICOURT,75013,58,56,56,Non,80.35302314,2,
10774,DECORATION DU 148 RUE DU CHATEAU DES RENTIERS,D?corations sur la voie publique,Decoration,RUE DU,CHATEAU DES RENTIERS,75013,211,289,289,Non,111.0008352,2,
10344,DECORATION DU BOULEVARD SAINT-MARCEL (13EME),D?corations sur la voie publique,Decoration,BOULEVARD,SAINT-MARCEL,75013,518,591,591,Non,715.9236642,39,
10981,JARDINIERE DE LA RUE VERGNIAUD,D?corations sur la voie publique,Jardiniere,RUE,VERGNIAUD,75013,4,5,5,Non,9.21936208,1,
11621,02-08,P?riph?rique,Talus,,,75013,119,,,Non,55.95445704,1,
11850,JARDIN PARTAGE DE LA DALLE D'IVRY,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,VILLA,D'ESTE,75013,480,440,440,Oui,,1,Non
11945,JARDINIERES DE LA PERCEE METIERS,D?corations sur la voie publique,Jardiniere,VOIE,FX/13,75013,112,110,110,Non,,3,
231,MAIL DE BIEVRE,Promenades ouvertes,Mail,BOULEVARD,AUGUSTE BLANQUI,75013,4226,4755,1759,Oui,358.7925733,1,Non
10367,JARDINIERE DE L'AVENUE DE LA SOEUR ROSALIE,D?corations sur la voie publique,Jardiniere,AVENUE DE LA,SOEUR ROSALIE,75013,143,120,120,Non,124.7726588,1,
244,JARDIN MICHELET,Promenades ouvertes,Jardin,RUE,BOUSSINGAULT,75013,1380,1500,766,Oui,233.0011219,1,Non
10140,JARDIN PAUL NIZAN,Promenades ouvertes,Jardin,RUE DE L',INDUSTRIE,75013,1732,1678,,Oui,196.1463443,1,Non
10783,JARDIN DE L'ESPLANADE DES GRANDS MOULINS,Promenades ouvertes,Jardin,RUE,MARGUERITE DURAS,75013,5573,2346,,Non,380.7558644,1,Oui
10356,JARDINIERE DE LA PLACE NATIONALE,D?corations sur la voie publique,Jardiniere,PLACE,NATIONALE,75013,238,200,200,Non,54.71006483,1,
10984,JARDINIERES DU QUAI PANHARD ET LEVASSOR,D?corations sur la voie publique,Jardiniere,QUAI,PANHARD ET LEVASSOR,75013,628,588,588,Non,240.2935595,2,
10371,JARDINIERES DE L'ENTREE DU PARC KELLERMANN,D?corations sur la voie publique,Jardiniere,BOULEVARD,KELLERMANN,75013,185,182,182,Non,80.54357986,2,
11622,02-09,P?riph?rique,Talus,,,75013,1787,,,Non,360.1738545,1,
246,JARDIN JUAN MIRO,Promenades ouvertes,Jardin,RUE,GANDON,75013,7205,7460,5064,Oui,422.6055565,1,Non
11284,JARDIN PARTAGE DU SQUARE BOUTROUX,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,FRANC NOHAIN,75013,601,500,500,Oui,118.9368943,1,Non
11244,JARDINIERE DU PASSAGE NATIONAL,D?corations sur la voie publique,Jardiniere,PASSAGE,NATIONAL,75013,60,34,34,Non,54.0598568,2,
10983,JARDINIERES DE LA RUE WATT,D?corations sur la voie publique,Jardiniere,RUE,WATT,75013,107,70,70,Non,272.1461358,2,
10379,JARDINIERES DE L'AVENUE BOUTROUX,D?corations sur la voie publique,Jardiniere,AVENUE,BOUTROUX,75013,601,88,88,Non,197.6167132,4,
10339,DECORATION DU BOULEVARD DE L'HOPITAL (13EME,D?corations sur la voie publique,Decoration,BOULEVARD DE L',HOPITAL,75013,1534,1432,1432,Non,1064.402132,13,
