Identifiant espace vert,Nom de l'espace vert,Typologie d'espace vert,Cat?gorie,Adresse - type voie,Adresse - Libell? voie,Code postal,Surface calcul?e,Superficie totale r?elle,Surface horticole,Pr?sence cloture,P?rim?tre,Nombre d'entit?s,Ouverture 24h_24h
10941,JARDINIERES DE LA RUE DOMBASLE,D?corations sur la voie publique,Jardiniere,RUE,DOMBASLE,75015,16,28,28,Non,24.3710262,2,
894,PROMENADE DU QUAI DE GRENELLE,Promenades ouvertes,Promenade,QUAI DE,GRENELLE,75015,5691,5900,,Non,1022.571688,1,Oui
11629,07-04,P?riph?rique,Talus,,,75015,620,580,580,Non,308.5783679,1,
11631,07-07,P?riph?rique,Talus,,,75015,1549,,,Non,422.5951073,1,
11632,08-00,P?riph?rique,Talus,,,75015,309,,,Non,195.3811089,1,
11634,09-02,P?riph?rique,Talus,,,75015,608,,,Non,146.1421533,1,
11967,SQUARE DE L'HOPITAL NECKER,Promenades ouvertes,Square,RUE DE,SEVRES,75015,2466,,,Oui,,0,Non
369,JARDIN ATLANTIQUE,Promenades ouvertes,Jardin,ALLEE DE LA,DEUXIEME DB,75015,26153,34200,22200,Oui,677.3324166,1,Non
357,PROMENADE DE L'ALLEE DES CYGNES,Promenades ouvertes,Promenade,ALLEE DES,CYGNES,75015,17748,9350,680,Non,1643.059479,1,Oui
330,SQUARE VIOLET,Promenades ouvertes,Square,PLACE,VIOLET,75015,8838,9550,6477,Oui,462.1748647,1,Non
10743,JARDIN DES MERES ET GRAND-MERES DE LA PLACE DE MAI,Promenades ouvertes,Jardin,ROND POINT DU,PONT MIRABEAU,75015,2232,2228,1490,Non,212.0876373,1,Oui
11230,PROMENADE PC 15 - BALARD - DESNOUETTES - SERRES,Promenades ouvertes,Promenade,RUE,LEBLANC,75015,34863,35795,,Oui,2835.655465,1,Non
334,PROMENADE DE L'AVENUE DE BRETEUIL 15E,Promenades ouvertes,Promenade,AVENUE DE,BRETEUIL,75015,3596,3902,3308,Non,552.8982872,0,Oui
10817,JARDINIERE DE LA PLACE BIENVENUE,D?corations sur la voie publique,Jardiniere,PLACE,BIENVENUE,75015,92,89,89,Non,48.73330336,1,
359,SQUARE PABLO CASALS,Promenades ouvertes,Square,RUE,EMERIAU,75015,5989,5898,2796,Non,316.2133852,1,Oui
11814,JARDINIERE VERTICALE DU 163 RUE DE SEVRE,Murs v?g?talis?s,Murs vegetalises,RUE DE,SEVRE,75015,4,,,Non,,1,
11434,JARDIN PARTAGE DE BEAUGRENELLE,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,LINOIS,75015,683,700,700,Oui,41.61930264,1,Non
11926,JARDIN PARTAGE DU SQUARE CLOS FEUQUIERES - DESNOUETTES,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,DESNOUETTES,75015,216,400,400,Oui,,1,Non
365,PROMENADE DU QUAI ANDRE CITROEN,Promenades ouvertes,Parc,QUAI,ANDRE CITROEN,75015,6637,14013,,Non,911.1190834,1,Oui
368,JARDIN DES MARTYRS JUIFS,Promenades ouvertes,Jardin,QUAI DE,GRENELLE,75015,4891,4418,2714,Non,520.5981818,1,Oui
337,SQUARE PAUL GILOT,Promenades ouvertes,Square,RUE DE LA,CONVENTION,75015,877,860,319,Oui,161.1660173,1,Non
10802,JARDINET DU MONUMENT DE LA FRANCE RENAISSANTE,D?corations sur la voie publique,Jardinet,ALLEE DES,CYGNES,75015,46,50,50,Non,24.10899864,1,
379,CIMETIERE DE GRENELLE,Cimeti?res,Cimeti?re,RUE,SAINT-CHARLES,75015,6334,6400,,Oui,346.6237036,1,Non
347,SQUARE DE L'OISEAU LUNAIRE,Promenades ouvertes,Square,RUE,BLOMET,75015,4325,4200,2070,Oui,273.3342658,1,Non
11166,JARDINIERE VERTICALE DU 1 QUAI DE GRENELLE,Murs v?g?talis?s,Murs vegetalises,QUAI DE,GRENELLE,75015,53,,,Non,175.9789312,2,
11633,08-01,P?riph?rique,Talus,,,75015,315,,,Non,189.3082917,1,
11927,JARDIN PARTAGE DU SQUARE SAINT LAMBERT,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,JEAN FORMIGE,75015,321,250,250,Oui,,1,Non
11959,JARDINIERES DE LA RUE GERBERT,D?corations sur la voie publique,Jardiniere,RUE,GERBERT,75015,468,510,510,Non,,13,
332,SQUARE GARIBALDI,Promenades ouvertes,Square,BOULEVARD DE,GRENELLE,75015,1140,1377,727,Oui,153.4756914,1,Non
336,SQUARE FRANCK BAUER,Promenades ouvertes,Square,PLACE,DUPLEIX,75015,4637,4842,1320,Oui,276.1400268,1,Non
366,JARDIN ALLERAY - PROCESSION,Promenades ouvertes,Jardin,RUE D,ALLERAY,75015,2830,3213,1306,Oui,304.5682229,1,Non
10944,JARDINIERE DE LA VILLA DE L'ASTROLABE,D?corations sur la voie publique,Jardiniere,VILLA DE L',ASTROLABE,75015,62,50,50,Non,56.50625294,1,
10801,JARDINIERES DE LA RUE FRANCOIS BONVIN,D?corations sur la voie publique,Jardiniere,RUE,FRANCOIS BONVIN,75015,17,12,12,Non,42.35006874,4,
11628,07-03,P?riph?rique,Talus,,,75015,500,,,Non,145.5009995,1,
11899,JARDINIERE VERTICALE DU 102 RUE DE JAVEL,Murs v?g?talis?s,Murs vegetalises,RUE DE,JAVEL,75015,1,,,Non,,0,
367,PARC ANDRE CITROEN,Promenades ouvertes,Parc,RUE DE LA,MONTAGNE DE LA FAGE,75015,123338,144083,81556,Oui,2889.004899,1,Non
372,SQUARE BRANCION,Promenades ouvertes,Square,AVENUE DE LA,PORTE BRANCION,75015,2585,3510,1618,Oui,293.9518016,1,Non
338,SQUARE DU CARDINAL VERDIER,Promenades ouvertes,Square,RUE,THUREAU DANGIN,75015,7128,6530,1455,Oui,457.6379423,1,Non
363,SQUARE JEAN COCTEAU,Promenades ouvertes,Square,AVENUE,FELIX FAURE,75015,3295,6020,3886,Oui,258.6095361,1,Non
10943,JARDINIERE DE L'AVENUE DU MAINE,D?corations sur la voie publique,Jardiniere,PLACE,BIENVENUE,75015,85,138,138,Non,36.84167326,1,
390,09-13,P?riph?rique,Talus,,,75015,649,,,Non,164.7130905,1,
392,09-15,P?riph?rique,Talus,,,75015,370,,,Non,331.3579975,2,
11640,09-17,P?riph?rique,Talus,,,75015,240,,,Non,73.88589166,1,
360,JARDIN DE LA RUE LA QUINTINIE,Promenades ouvertes,Jardin,RUE DES,FAVORITES,75015,3765,3402,2762,Oui,274.5529646,1,Non
370,JARDIN DE L'HOPITAL VAUGIRARD,Promenades ouvertes,Jardin,RUE DE,VAUGIRARD,75015,6748,7070,4250,Oui,480.4571242,1,Non
10797,JARDINIERES DE LA RUE DU DOCTEUR FINLAY,D?corations sur la voie publique,Jardiniere,RUE DU,DOCTEUR FINLAY,75015,12,26,26,Non,23.03133366,3,
10798,JARDINIERE ANGLE DES RUES LECOURBE - CROIX NIVERT,D?corations sur la voie publique,Jardiniere,RUE,LECOURBE,75015,61,63,63,Non,29.52641155,1,
10806,JARDINIERES DE LA RUE PECLET,D?corations sur la voie publique,Jardiniere,RUE,PECLET,75015,14,11,11,Non,24.88865507,2,
11636,09-06,P?riph?rique,Talus,,,75015,2141,,,Non,354.0286852,1,
386,09-09,P?riph?rique,Talus,,,75015,2320,,,Non,700.852308,1,
11810,JARDINIERES DE LA RUE GINOUX,D?corations sur la voie publique,Jardiniere,RUE,GINOUX,75015,85,82,82,Non,,2,
11815,JARDINIERE VERTICALE DU 13 RUE SAINTE-FELICITE,Murs v?g?talis?s,Murs vegetalises,RUE,SAINTE-FELICITE,75015,1,,,Non,,0,
351,SQUARE RUE DES PERICHAUX,Promenades ouvertes,Square,BOULEVARD,LEFEBVRE,75015,5083,5033,3189,Oui,531.2843867,1,Oui
333,SQUARE JEAN CHERIOUX,Promenades ouvertes,Square,RUE DE,VAUGIRARD,75015,4229,3980,1676,Oui,335.4098263,1,Non
10814,JARDINETS DE LA TOUR ORPHEE,D?corations sur la voie publique,Jardinet,QUAI,ANDRE CITROEN,75015,2401,2100,2100,Non,753.6514082,21,
10812,JARDINET DU ROND POINT DE LA PORTE DE LA PLAINE,D?corations sur la voie publique,Jardinet,PLACE DES,INSURGES DE VARSOVIE,75015,962,888,888,Non,259.0051614,1,
10697,MAIL DE LA RUE MODIGLIANI,D?corations sur la voie publique,Mail,RUE,MODIGLIANI,75015,1418,5038,1555,Non,726.2690808,12,
375,JARDINETS DE LA RUE DU COLONEL COLONNA D'ORNANO,Jardinets d?coratifs,Jardinet,RUE DU,COLONEL COLONNA D'ORNANO,75015,800,765,765,Non,353.838979,7,
11229,JARDIN MARIE POUSSEPIN,Promenades ouvertes,Jardin,RUE,LECOURBE,75015,2577,2500,,Oui,400.4547504,1,Non
11491,JARDINIERES ANGLE DES RUES LECOURBE - VASCO DE GAMMA,D?corations sur la voie publique,Jardiniere,RUE,LECOURBE,75015,565,510,510,Non,188.6271828,7,
10815,JARDINIERES DE LA RUE DES MORILLONS,D?corations sur la voie publique,Jardiniere,RUE DES,MORILLONS,75015,290,352,352,Non,180.735276,2,
362,JARDIN DU 62 AU 68 RUE D'ALLERAY,Promenades ouvertes,Jardin,RUE D,ALLERAY,75015,3075,3030,2129,Oui,313.5687922,1,Non
11428,SQUARE CASTAGNARY - BESSIN,Promenades ouvertes,Square,RUE DU,BOCAGE,75015,1491,1300,,Oui,241.4026967,1,Non
11811,JARDINIERES DE LA RUE MARIE SKOBTSOV,D?corations sur la voie publique,Jardiniere,RUE,MARIE SKOBTSOV,75015,417,432,432,Non,,12,
341,SQUARE GERBERT - BLOMET,Promenades ouvertes,Square,RUE,BLOMET,75015,626,665,189,Oui,103.3808137,1,Non
342,SQUARE DE LA PLACE ETIENNE PERNET,Promenades ouvertes,Square,PLACE,ETIENNE PERNET,75015,402,640,116,Non,78.94770809,1,Oui
343,JARDIN ROSALIND FRANKLIN,Promenades ouvertes,Jardin,RUE DE,LOURMEL,75015,297,294,145,Oui,76.85724523,1,Non
361,SQUARE BELA BARTOK,Promenades ouvertes,Square,PLACE DE,BRAZZAVILLE,75015,7030,6100,5452,Oui,419.78287,1,Oui
10800,JARDINET DU ROND POINT DU PONT MIRABEAU,D?corations sur la voie publique,Jardinet,ROND POINT DU,PONT MIRABEAU,75015,387,363,363,Non,108.4580664,2,
344,SQUARE DE LA PORTE DE LA PLAINE,Promenades ouvertes,Square,PLACE DES,INSURGES DE VARSOVIE,75015,5590,5566,2366,Oui,313.7442488,1,Non
11168,JARDINIERE VERTICALE DU 5 RUE DES PERICHAUX,Murs v?g?talis?s,Murs vegetalises,RUE DES,PERICHAUX,75015,4,,,Non,18.70239106,1,
11438,JARDINIERE VERTICALE DU 12 RUE FONDARY,Murs v?g?talis?s,Murs vegetalises,RUE,FONDARY,75015,7,,,Non,38.76470707,12,
354,JARDIN DES CEVENNES,Promenades ouvertes,Jardin,RUE,CAUCHY,75015,5991,6395,3405,Oui,311.3958152,1,Non
353,JARDIN DU GRAND PAVOIS,Promenades ouvertes,Jardin,RUE DE,LOURMEL,75015,2863,2280,1760,Oui,235.5713315,1,Non
10804,JARDINIERES DU PARVIS DE LA PLACE RAOUL DAUTRY,D?corations sur la voie publique,Jardiniere,PLACE,RAOUL DAUTRY,75015,1312,1100,1100,Non,312.7185676,4,
10810,JARDINIERES ANGLE DES RUES DE VOUILLE - LABROUSTE,D?corations sur la voie publique,Jardiniere,RUE DE,VOUILLE,75015,140,117,117,Non,142.4002455,7,
10813,JARDINIERES DE LA RUE JONGKIND,D?corations sur la voie publique,Jardiniere,RUE,JONGKIND,75015,20,25,25,Non,38.76377337,4,
340,SQUARE SAINT-LAMBERT,Promenades ouvertes,Square,RUE,JEAN FORMIGE,75015,20731,20745,9829,Oui,566.3778412,1,Non
11026,JARDINET DE LA MAISON COMMUNALE,Jardinets d?coratifs,Jardinet,RUE,VIOLET,75015,146,150,150,Oui,47.25370443,1,Non
381,09-01,P?riph?rique,Talus,,,75015,1061,,,Non,245.038423,1,
388,09-11,P?riph?rique,Talus,,,75015,890,,,Non,206.4796984,1,
329,SQUARE YVETTE CHAUVIRE,Promenades ouvertes,Square,PLACE DU,COMMERCE,75015,3823,3745,1424,Oui,341.8598482,1,Non
10803,JARDINIERES DU MONUMENT DU SOUVENIR FRANCAIS,D?corations sur la voie publique,Jardiniere,RUE,PETEL,75015,11,12,12,Non,20.84603834,2,
10793,JARDINIERES ANGLE DES RUES DE LA CONVENTION - DES BERGERS,D?corations sur la voie publique,Jardiniere,RUE DE LA,CONVENTION,75015,59,100,100,Non,41.588119,1,
10792,JARDINIERES DE LA RUE DE L'AMIRAL  ROUSSIN,D?corations sur la voie publique,Jardiniere,RUE DE L',AMIRAL ROUSSIN,75015,57,47,47,Non,71.81074484,5,
374,PROMENADE D'AUSTRALIE 15E,Promenades ouvertes,Promenade,QUAI,BRANLY,75015,8082,8147,3984,Non,750.314751,0,Oui
11072,ESPACE VERT DU TEP RENE ET ANDRE MOURLON,Etablissements sportifs,Espace Vert,RUE,GASTON DE CAILLAVET,75015,376,300,300,Oui,166.3480919,5,Non
11171,JARDINIERE VERTICALE DU 1 RUE RENE RAVAUD,Murs v?g?talis?s,Murs vegetalises,RUE,RENE RAVAUD,75015,5,,,Non,49.36484592,1,
11436,JARDINIERE VERTICALE DU 4V ALLEE DES CYGNES,Murs v?g?talis?s,Murs vegetalises,ALLEE DES,CYGNES,75015,142,,,Non,54.82603015,1,
11630,07-05,P?riph?rique,Talus,,,75015,106,,,Non,87.764432,1,
382,09-04,P?riph?rique,Talus,,,75015,115,,,Non,57.83410282,1,
11638,09-10,P?riph?rique,Talus,,,75015,734,,,Non,194.6728497,1,
11960,JARDINIERES DE LA RUE BRANCION,D?corations sur la voie publique,Jardiniere,RUE,BRANCION,75015,55,140,140,Non,,3,
376,SQUARE MARIN LA MESLEE,Jardinets d?coratifs,Square,SQUARE,DESNOUETTES,75015,401,385,,Oui,86.18791001,1,Non
380,09-00,P?riph?rique,Talus,,,75015,1602,,,Non,386.6657526,1,
11988,07-02,P?riph?rique,Talus,,,75015,,210,210,Non,,1,
10795,JARDINETS DE L'AVENUE EMILE ZOLA,D?corations sur la voie publique,Jardinet,AVENUE,EMILE ZOLA,75015,382,425,425,Non,139.4712904,3,
348,SQUARE CARLO SARRABEZOLLES,Promenades ouvertes,Square,RUE,RENE RAVAUD,75015,13060,14660,6726,Oui,621.5907142,1,Non
11432,JARDIN PARTAGE DU SQUARE  PIERRE-ADRIEN DALPEYRAT,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE DU,COTENTIN,75015,217,142,142,Oui,41.60210459,1,Non
11635,09-03,P?riph?rique,Talus,,,75015,861,,,Non,271.0946794,1,
356,PARC OMNISPORT SUZANNE LENGLEN,Promenades ouvertes,Parc,BOULEVARD DES,FRERES VOISIN,75015,138563,73240,63779,Oui,5774.974066,1,Non
352,SQUARE ALLERAY - SAINT-AMAND,Promenades ouvertes,Square,RUE D,ALLERAY,75015,3324,3483,2275,Oui,262.2728006,1,Non
331,SQUARE CAMBRONNE,Promenades ouvertes,Square,RUE,ALEXANDRE CABANEL,75015,1645,1740,1230,Oui,161.0545539,1,Non
10796,JARDINIERE ANGLE DES RUES DE LA FEDERATION - SUFFREN,D?corations sur la voie publique,Jardiniere,RUE DE LA,FEDERATION,75015,35,27,27,Non,26.43159849,1,
358,SQUARE BARGUE - PLATON,Promenades ouvertes,Square,RUE,FALGUIERE,75015,988,982,778,Oui,135.3576562,1,Non
10713,PELOUSES DE LA RUE CAMBRONNE,D?corations sur la voie publique,Pelouse,RUE,CAMBRONNE,75015,1683,1535,1535,Non,506.2963716,9,
11439,JARDINIERES DE LA PLACE DE LA LAICITE,D?corations sur la voie publique,Jardiniere,PLACE DE LA,LAICITE,75015,19,20,20,Non,50.85812361,10,
11767,PROMENADE PC 15 - BAUDRY - DANTZIG,Jardins privatifs,Promenade,RUE DES,PERICHAUX,75015,14177,,,Oui,1121.021636,2,Non
11812,JARDIN PARTAGE DU JARDIN MARIE POUSSEPIN,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE DE LA,CROIX NIVERT,75015,124,140,140,Oui,,1,Non
11433,JARDIN PARTAGE DES CEVENNES,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,CAUCHY,75015,104,113,113,Oui,44.17129216,1,Non
895,PLATE-BANDE DU BOULEVARD PASTEUR,Jardinets d?coratifs,Plate-bande,BOULEVARD,PASTEUR,75015,812,645,645,Oui,656.1794209,2,Non
10942,JARDINIERE DE LA RUE DE VAUGIRARD,D?corations sur la voie publique,Jardiniere,RUE DE,VAUGIRARD,75015,33,37,37,Non,35.80963791,1,
349,SQUARE CLOS FEUQUIERES - DESNOUETTES,Promenades ouvertes,Square,RUE,DESNOUETTES,75015,13580,14500,7872,Oui,505.5367766,1,Non
10794,DECORATION DE LA PLACE CAMILLE CLAUDEL,D?corations sur la voie publique,Decoration,PLACE,CAMILLE CLAUDEL,75015,36,40,40,Non,27.28480244,1,
10807,JARDINIERES DE LA PLACE GEORGES MULOT,D?corations sur la voie publique,Jardiniere,PLACE,GEORGES MULOT,75015,15,15,15,Non,33.06270578,1,
11637,09-08,P?riph?rique,Talus,,,75015,5048,,,Non,909.9211397,1,
389,09-12,P?riph?rique,Talus,,,75015,1850,,,Non,311.3239191,1,
11786,JARDIN ELISABETH BOSELLI,Promenades ouvertes,Jardin,BOULEVARD,VICTOR,75015,6645,,,Oui,371.788622,0,Non
339,SQUARE DU DOCTEUR CALMETTE,Promenades ouvertes,Square,RUE,JEAN SICARD,75015,10063,11760,4005,Oui,606.202621,1,Non
346,JARDIN D'IMMEUBLES ALBERT BARTHOLOME - BRANCION,Promenades ouvertes,Jardin,AVENUE,ALBERT BARTHOLOME,75015,20218,34180,25921,Non,1500.518423,1,Oui
350,JARDIN DURANTON,Promenades ouvertes,Jardin,RUE,DURANTON,75015,7730,7286,4273,Oui,419.6307384,1,Non
10695,JARDINET DU MONUMENT AUX MORTS DE LA MAIRIE DU 15EME,D?corations sur la voie publique,Jardinet,RUE,PECLET,75015,76,177,177,Non,46.22604454,1,
11301,CENTRE SPORTIF DE LA PORTE DE LA PLAINE ET CHARLES RIGOULOT,Etablissements sportifs,Espace Vert,RUE DU,GENERAL GUILLAUMAT,75015,10697,11186,11186,Oui,4691.938401,1,Non
10799,JARDINIERES DE LA RUE LOURMEL,D?corations sur la voie publique,Jardiniere,RUE DE,LOURMEL,75015,170,197,197,Non,162.8631966,5,
10818,JARDINIERE DE LA RUE SAINT-CHARLES,D?corations sur la voie publique,Jardiniere,RUE,SAINT-CHARLES,75015,8,10,10,Non,12.27785895,1,
364,SQUARE PIERRE-ADRIEN DALPAYRAT,Promenades ouvertes,Square,RUE DU,COTENTIN,75015,8769,9898,3682,Oui,587.6349671,1,Non
11338,JARDIN MARGUERITE BOUCICAUT,Promenades ouvertes,Jardin,ALLEE,ISADORA DUNCAN,75015,3440,3440,,Oui,338.246744,1,Non
11167,JARDINIERE VERTICALE DU 17 RUE D' ORADOUR SUR GLANE,Murs v?g?talis?s,Murs vegetalises,RUE D',ORADOUR SUR GLANE,75015,99,,,Non,422.2368463,3,
11067,ESPACE VERT DU GYMNASE OLIVIER DE SERRES,Etablissements sportifs,Espace Vert,RUE,OLIVIER DE SERRES,75015,35,920,920,Oui,26.44345798,2,Non
11639,09-16,P?riph?rique,Talus,,,75015,47,,,Non,74.03914687,1,
11734,TALUS DU QUAI D'ISSY LES MOULINEAUX,P?riph?rique,Talus,QUAI D',ISSY-LES-MOULINEAUX,75015,6902,6900,6900,Non,1310.665366,6,
355,PARC GEORGES BRASSENS,Promenades ouvertes,Parc,PLACE,JACQUES MARETTE,75015,67966,87293,45434,Oui,1603.835011,1,Non
391,09-14,P?riph?rique,Talus,,,75015,328,,,Non,166.4970212,1,
11733,ESPACE VERT DU TEP CALMETTE,Etablissements sportifs,Espace Vert,BOULEVARD,LEFEBVRE,75015,163,180,180,Oui,177.373983,1,Non
11169,JARDINIERE VERTICALE DU 7 RUE CAUCHY,Murs v?g?talis?s,Murs vegetalises,RUE DE,CAUCHY,75015,18,,,Non,142.8983922,2,
373,SQUARE NICOLE DE HAUTECLOCQUE,Promenades ouvertes,Square,VOIE,CV/15,75015,4997,7540,5850,Oui,340.1696796,1,Non
378,CIMETIERE DE VAUGIRARD,Cimeti?res,Cimeti?re,RUE,LECOURBE,75015,15916,15900,,Oui,591.0275109,1,Non
10808,JARDINIERE DE LA PLACE JACQUES MARETTE,D?corations sur la voie publique,Jardiniere,RUE DES,MORILLONS,75015,144,182,182,Non,53.62991173,1,
10945,JARDINIERES DE LA RUE DU COMMERCE,D?corations sur la voie publique,Jardiniere,RUE DU,COMMERCE,75015,79,84,84,Non,133.0096235,13,
11170,JARDINIERE VERTICALE DU 26 PLACE DE BRAZZAVILLE,Murs v?g?talis?s,Murs vegetalises,PLACE DE,BRAZZAVILLE,75015,6,,,Non,83.44514681,1,
11435,JARDIN PARTAGE DU TEP PAUL BARRUEL,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,PAUL BARRUEL,75015,347,300,300,Oui,75.51449192,1,Non
393,09-19,P?riph?rique,Talus,,,75015,1095,,,Non,235.129592,1,
11684,JARDINIERES  DE L’ANCIEN HOPITAL BOUCICAUT,D?corations sur la voie publique,Jardiniere,ALLEE,ISADORA DUNCAN,75015,1290,1300,1300,Non,936.5222564,17,
10842,JARDINET DE LA RUE DU SERGENT MAGINOT,D?corations sur la voie publique,Jardinet,RUE DU,SERGENT MAGINOT,75016,163,230,230,Non,57.34265312,1,
424,JARDINETS DE LA PLACE DE LA PORTE D'AUTEUIL,Jardinets d?coratifs,Jardinet,PLACE DE LA,PORTE D'AUTEUIL,75016,1556,1252,1252,Non,559.1904149,9,
10841,JARDINIERE DE LA PLACE THEODORE RIVIERE,D?corations sur la voie publique,Jardiniere,PLACE,THEODORE RIVIERE,75016,7,7,7,Non,34.42091471,1,
11495,PLATE-BANDE DE LA RUE DE L' ALBONI,D?corations sur la voie publique,Plate-bande,RUE DE L',ALBONI,75016,121,158,158,Non,237.1911435,9,
11496,PLATE-BANDE DU BOULEVARD DELESSERT,D?corations sur la voie publique,Plate-bande,BOULEVARD,DELESSERT,75016,617,650,650,Non,215.9615731,1,
11648,12-00,P?riph?rique,Talus,,,75016,1162,,,Non,190.6159937,1,
11674,15-04,P?riph?rique,Talus,,,75016,3168,,,Non,418.067389,1,
11932,JARDINIERE ANGLE RUE OCTAVE FEUILLET ET BOULEVARD EMILE AUGIER,D?corations sur la voie publique,Jardiniere,RUE,OCTAVE FEUILLET,75016,,41,41,Non,,1,
399,SQUARE YORKTOWN,Promenades ouvertes,Square,AVENUE,PAUL DOUMER,75016,972,894,848,Oui,146.3307285,1,Non
10845,JARDIN DU MUSEE D'ART MODERNE,Jardins privatifs,Jardin,AVENUE DU,PRESIDENT WILSON,75016,1404,812,812,Oui,483.8354368,5,Non
11329,PELOUSE DE SAINT CLOUD,Promenades ouvertes,Pelouse,AVENUE DE,SAINT CLOUD,75016,34503,34506,,Non,1097.674137,1,
11393,JARDIN DE L'AVENUE DODE DE LA BRUNERIE,Promenades ouvertes,Jardin,AVENUE,DODE DE LA BRUNERIE,75016,2976,3000,,Oui,233.7606567,1,Oui
10947,PLATE-BANDE DE L'AVENUE PAUL DOUMER,D?corations sur la voie publique,Plate-bande,AVENUE,PAUL DOUMER,75016,126,170,170,Non,213.8393319,1,
11655,13-04,P?riph?rique,Talus,,,75016,2902,,,Non,538.5616315,1,
11659,13-51,P?riph?rique,Talus,,,75016,157,,,Non,91.33687413,1,
898,JARDIN DES SERRES D'AUTEUIL,Promenades ouvertes,Jardin,AVENUE DE LA,PORTE D'AUTEUIL,75016,56137,52100,,Oui,1015.561122,1,Non
398,JARDINS DU TROCADERO,Promenades ouvertes,Jardin,PLACE DE,VARSOVIE,75016,105555,93982,64427,Non,3988.527302,1,Oui
401,SQUARE BRIGNOLE - MUSEE GALLIERA,Promenades ouvertes,Square,AVENUE,PIERRE 1ER DE SERBIE,75016,7490,5804,3606,Oui,642.3725127,1,Non
423,PARC DE PASSY,Promenades ouvertes,Parc,AVENUE,MARCEL PROUST,75016,13995,13780,9907,Oui,843.1082902,1,Non
10045,BOIS DE BOULOGNE,Bois,Bois,AVENUE DE L',HIPPODROME,75016,8057728,,,Non,16981.15062,1,
429,CIMETIERE D'AUTEUIL,Cimeti?res,Cimeti?re,RUE,CLAUDE LORRAIN,75016,7169,7200,,Oui,347.9644362,1,Non
10835,DECORATION DU MONUMENT FRANTZ REICHEL,D?corations sur la voie publique,Decoration,AVENUE DE LA,PORTE MOLITOR,75016,23,28,28,Non,23.07929517,1,
11172,JARDINIERE VERTICALE DU 1 AVENUE ADRIEN HEBRARD,Murs v?g?talis?s,Murs vegetalises,AVENUE,ADRIEN HEBRARD,75016,30,,,Non,75.05714033,1,
432,10-03,P?riph?rique,Talus,,,75016,956,,,Non,206.472776,1,
11656,13-05,P?riph?rique,Talus,,,75016,1540,,,Non,268.858293,1,
11660,13-01,P?riph?rique,Talus,,,75016,2594,,,Non,288.6232071,1,
11670,15-01,P?riph?rique,Talus,,,75016,870,,,Non,259.717301,1,
11681,15-12,P?riph?rique,Talus,,,75016,3856,,,Non,751.7224731,1,
11643,10-05,P?riph?rique,Talus,,,75016,736,,,Non,208.9790212,1,
11225,PROMENADE DE LA GARE D'AUTEUIL,Promenades ouvertes,Promenade,BOULEVARD,SUCHET,75016,9570,4990,3575,Oui,,1,Non
11294,JARDIN DE LA STATION SNCF FOCH,D?corations sur la voie publique,Jardin,BOULEVARD,FLANDRIN,75016,298,289,289,Non,112.7543336,1,
10820,JARDINIERES DE L'AVENUE DU PRESIDENT WILSON,D?corations sur la voie publique,Jardiniere,AVENUE DU,PRESIDENT WILSON,75016,595,588,588,Non,615.8919739,10,
10830,PLATE-BANDE DU BOULEVARD EXELMANS,D?corations sur la voie publique,Plate-bande,BOULEVARD,EXELMANS,75016,465,353,353,Non,610.4972069,48,
10837,JARDINIERE DE LA STATUE VICTOR HUGO,D?corations sur la voie publique,Jardiniere,AVENUE,VICTOR HUGO,75016,42,32,32,Non,33.57290111,1,
11177,JARDINIERE VERTICALE DU 2 RUE DU COMMANDANT SCHLOESING,Murs v?g?talis?s,Murs vegetalises,RUE DU,COMMANDANT SCHLOESING,75016,39,,,Non,217.071541,1,
11978,JARDIN MARCEL DORET,Promenades ouvertes,Jardin,AVENUE,DODE DE LA BRUNERIE,75016,683,,,Oui,,0,Non
11672,15-02,P?riph?rique,Talus,,,75016,5791,,,Non,833.3703535,1,
11675,15-05,P?riph?rique,Talus,,,75016,1840,,,Non,833.3143437,1,
11683,16-00,P?riph?rique,Talus,,,75016,1077,,,Non,224.5954704,1,
11735,SQUARE OCTAVE MIRBEAU,Promenades ouvertes,Square,VOIE,CB/16,75016,2117,2100,,Oui,372.8557602,1,Oui
11933,JARDINIERE DE LA RUE DE L'ABBE GILLET,D?corations sur la voie publique,Jardiniere,RUE DE L',ABBE GILLET,75016,,125,125,Non,,2,
419,JARDIN DE LA FONDATION D'AUTEUIL,Promenades ouvertes,Jardin,RUE,JEAN DE LA FONTAINE,75016,3289,3356,1734,Oui,288.2227085,1,Non
414,JARDIN CHRISTIANE DESROCHES NOBLECOURT,Promenades ouvertes,Jardin,AVENUE,ADRIEN HEBRARD,75016,4577,6040,4640,Oui,283.4926421,1,Non
10036,PARC DE BAGATELLE,Promenades ouvertes,Parc,ROUTE DE,SEVRES A NEUILLY,75016,227125,,,Oui,2416.065043,1,Non
